Titulo,Artista,Album,Género,Año,Ruta
Watch Out For This (Bumaye) feat. Busy Signal  The Flexican & FS Green,Major Lazer,Watch out for This ,,None,E:\Música\Clásicas\_Major_Lazer_OFFICIAL_Watch_Out.mp3
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2011,(13)Pop,E:\Música\Dance\01 Gym Class Heroes - Stereo Hearts (feat. Adam Levine).mp3
Dreamer,GYTLAZ,Dreamer,2019,Elektro,E:\Música\Dance\01 GYTLAZ - Dreamer.mp3
The Girl (feat. Cozi Zuehlsdorff),Hellberg,The Girl (feat. Cozi Zuehlsdorff),2015,(3)Dance,E:\Música\Dance\01 Hellberg - The Girl (feat. Cozi Zuehlsdorff).mp3
Invisible,Julius Dreisig,Invisible,2018,Elektro,E:\Música\Dance\01 Julius Dreisig - Invisible.mp3
Chasing Shadows,Justin Mylo,Chasing Shadows,2018,(3)Dance,E:\Música\Dance\01 Justin Mylo - Chasing Shadows.mp3.mp3
Ignite,K-391,Ignite,2018,(159)Electro,E:\Música\Dance\01 K-391 - Ignite.mp3
Shine Over Me (feat. Shira),KISMA,Shine Over Me (feat. Shira),2019,(3)Dance,E:\Música\Dance\01 KISMA - Shine Over Me (feat. Shira).mp3
Carry Me Home,KSHMR Feat. Jake Reese,Carry Me Home [Single],2018,Progressive,E:\Música\Dance\01 KSHMR - Carry Me Home (feat. Jake Reese).mp3
No Regrets (feat. Krewella),KSHMR,No Regrets (feat. Krewella),2019,(3)Dance,E:\Música\Dance\01 KSHMR - No Regrets (feat. Krewella).mp3
No Lie,Sean Paul,No Lie,2016,(16)Reggae,E:\Música\Dance\01 Sean Paul - No Lie.mp3
Move Your Body (Single Mix),Sia,Move Your Body (Single Mix),2017,(13)Pop,E:\Música\Dance\01 Sia - Move Your Body (Single Mix).mp3
Azukita,Steve Aoki,Azukita,2018,(3)Dance,E:\Música\Dance\01 Steve Aoki - Azukita.mp3
Feel Good,Syn Cole,Feel Good,2016,(159)Electro,E:\Música\Dance\01 Syn Cole - Feel Good.mp3
Who Do You Love (R3HAB Remix),The Chainsmokers,Who Do You Love (R3HAB Remix),2019,(3)Dance,E:\Música\Dance\01 The Chainsmokers - Who Do You Love (R3HAB Remix).mp3
Chasing The Sun,The Wanted,Chasing The Sun (EP),2012,(13)Pop,E:\Música\Dance\01 The Wanted - Chasing The Sun.mp3
Glad You Came,The Wanted,Battleground (Deluxe Edition),2011,(13)Pop,E:\Música\Dance\01 The Wanted - Glad You Came(1).mp3
Change My Heart,Ummet Ozcan,Change My Heart,2018,(3)Dance,E:\Música\Dance\01 Ummet Ozcan - Change My Heart.mp3
Angels (Radio Edit),Vicetone,Angels (Radio Edit),2015,(3)Dance,E:\Música\Dance\01 Vicetone - Angels (Radio Edit).mp3
Nevada (feat. Cozi Zuehlsdorff),Vicetone,Nevada (feat. Cozi Zuehlsdorff),2016,(159)Electro,E:\Música\Dance\01 Vicetone - Nevada (feat. Cozi Zuehlsdorff).mp3
Walk Thru Fire,Vicetone,Walk Thru Fire,2018,(159)Electro,E:\Música\Dance\01 Vicetone - Walk Thru Fire.mp3
Already Let You Go‬‬‬,Vigiland,Already Let You Go‬‬‬,2019,(3)Dance,E:\Música\Dance\01 Vigiland - Already Let You Go.mp3
Friday Night‬‬‬,Vigiland,Friday Night,2017,(3)Dance,E:\Música\Dance\01 Vigiland - Friday Night   .mp3
Ego (Radio Edit),Willy William,Ego (Radio Edit),2015,(3)Dance,E:\Música\Dance\01 Willy William - Ego (Radio Edit).mp3
Lost Control,Alan Walker,Different World,2018,(159)Electro,E:\Música\Dance\02 Alan Walker - Lost Control.mp3
Heaven,Avicii,TIM,2019,(3)Dance,E:\Música\Dance\02 Avicii - Heaven.mp3
Lonely Together (Featuring Rita Ora),Avicii,Avīci 01,2017,Progressive,E:\Música\Dance\02 Avicii - Lonely Together.mp3
The Nights,Avicii,The Days / Nights [EP],2014,Progressive,E:\Música\Dance\02 Avicii - The Nights.mp3
Everything,Diamond Eyes,NCS: Alpha,2018,(159)Electro,E:\Música\Dance\02 Diamond Eyes - Everything.mp3
Bad (Radio Edit),David Guetta,Amsterdam Music Festival - The 2014 Compilation,2014,(3)Dance,E:\Música\Dance\03 David Guetta - Bad (Radio Edit).mp3
Sexy Bitch (feat. Akon),David Guetta,One More Love,2011,(3)Dance,E:\Música\Dance\03 David Guetta - Sexy Bitch (feat. Akon).mp3
Take Me Home,Geoxor,Stardust,2019,,E:\Música\Dance\03 Geoxor - Take Me Home.mp3
Whatever It Takes,Imagine Dragons,Evolve,2017,(20)Alternative,E:\Música\Dance\03 Imagine Dragons - Whatever It Takes.mp3
Closer,Lemaitre,1749,2016,Elektro,E:\Música\Dance\03 Lemaitre - Closer.mp3
Love Me Close,Frank Walker,24,,,E:\Música\Dance\03 Love me Close - Frank Walker.mp3
Hope,The Chainsmokers,Sick Boy,2018,(3)Dance,E:\Música\Dance\03 The Chainsmokers - Hope.mp3
How to Love (feat. Sofia Reyes) (Boombox Cartel Remix),Cash Cash,How To Love (feat. Sofia Reyes) [Remixes],2016,(3)Dance,E:\Música\Dance\03_Cash_Cash_How_to_Love_feat_Sofia.mp3
Addicted To You,Avicii,True,2013,(3)Dance,E:\Música\Dance\04 Avicii - Addicted To You.mp3
Without You (Featuring Sandro Cavazza),Avicii,Avīci 01,2017,Progressive,E:\Música\Dance\04 Avicii - Without You.mp3
Sleepwalker (Virtu Remix),Illenium,Ashes (Remixes),2016,Elektro,E:\Música\Dance\04 Illenium - Sleepwalker (Virtu Remix).mp3
Hey Baby (Drop It to the Floor),Pitbull,Planet Pit (Deluxe Version),2011,(13)Pop,E:\Música\Dance\04 Pitbull - Hey Baby (Drop It to the Floor).mp3
It's All On U (K?d Remix),Illenium,Ashes (Remixes),2016,Elektro,E:\Música\Dance\05 Illenium - It s All On U (K d Remix).mp3
Stranger Things (Alan Walker Remix),Kygo,Kids in Love (Remixes),2018,Electro / Dance,E:\Música\Dance\05 Kygo - Stranger Things (Alan Walker Remix).mp3
Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing But the Beat (Ultimate Edition),2012,(3)Dance,E:\Música\Dance\06 David Guetta - Play Hard (feat. Ne-Yo & Akon).mp3
Everybody Hates Me,The Chainsmokers,Sick Boy,2018,(3)Dance,E:\Música\Dance\07 The Chainsmokers - Everybody Hates Me.mp3
On My Way,Axwell /\ Ingrosso,More Than You Know,2017,(3)Dance,E:\Música\Dance\08 Axwell _ Ingrosso - On My Way.mp3
Party Rock Anthem (feat. Lauren Bennett & GoonRock),LMFAO,Just Dance Video Game Hits  Vol. 1,2016,None,E:\Música\Dance\08 LMFAO - Party Rock Anthem (feat. Lauren Bennett   GoonRoc.mp3
Fearless Pt. II,Lost Sky,NCS: The Best of 2017,2017,Elektro,E:\Música\Dance\08 Tule - Fearless Pt. II.mp3
Move Your Body (Alan Walker Remix),Sia,This Is Acting (Deluxe Version),2016,(13)Pop,E:\Música\Dance\16 Sia - Move Your Body (Alan Walker Remix).mp3
Hello (Paul Damixie Remix),Adele,Adele 21 (Remixes),,Pop,E:\Música\Dance\Adele - Hello (Paul Damixie Remix).mp3
Alone  Pt. II,Alan Walker,Alone  Pt. II,,,E:\Música\Dance\Alan Walker - Alone  Pt. II.mp3
Sorry (feat. ISÁK),Alan Walker,Sorry (feat. ISÁK),,,E:\Música\Dance\Alan Walker - Sorry (feat. ISÁK).mp3
Love Again (feat. Alida),Alok,Love Again (feat. Alida),,,E:\Música\Dance\Alok - Love Again (feat. Alida).mp3.mp3
Never Gonna (Radio Edit),Arc North,Never Gonna,,,E:\Música\Dance\Arc North - Never Gonna (Radio Edit).mp3
Echo (with KSHMR),Armaan Malik,Echo (with KSHMR),,,E:\Música\Dance\Armaan Malik - Echo (with KSHMR).mp3
Blah Blah Blah,Armin van Buuren,Hardwell presents Revealed Vol. 9,,,E:\Música\Dance\Armin van Buuren - Blah Blah Blah.mp3
Anita,Armin van Buuren  Timmy Trumpet,Anita,2021-08-27,Dance,E:\Música\Dance\Armin van Buuren  Timmy Trumpet - Anita.mp3
Hero (feat. Christina Perri),Cash Cash,Blood  Sweat & 3 Years,,,E:\Música\Dance\Cash Cash - Hero (feat. Christina Perri).mp3
Without You,Chris Like,Without You,,,E:\Música\Dance\Chris Like - Without You.mp3
What You Like ,Curbi,What You Like ,2021,Elektro,E:\Música\Dance\Curbi - What You Like [NCS Release].mp3
Daily (feat. Jon Becker),Rival,Daily (feat. Jon Becker),,,E:\Música\Dance\Daily (feat. Jon Becker) - Rival.mp3
23,Diamond Eyes,23,2020,,E:\Música\Dance\Diamond Eyes - 23.mp3
Gravity,Diamond Eyes,Gravity,,,E:\Música\Dance\Diamond Eyes - Gravity.mp3
More Than Once,Different Heaven,Colors EP,,,E:\Música\Dance\Different Heaven - More Than Once.mp3
Out of Time,Diviners,Out of Time,,,E:\Música\Dance\Diviners - Out of Time.mp3
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA),,,E:\Música\Dance\Doja Cat - Kiss Me More (feat. SZA).mp3
Don't Let Me Down,The Chainsmokers,Don't Let Me Down,2016,(3)Dance,E:\Música\Dance\Don't Let Me Down.mp3
Dream It Possible,Delacey,Huawei Mobile,,Pop,E:\Música\Dance\Dream_It_Possible.mp3
Steal The Moon,DubVision,Steal The Moon,2018,(159),E:\Música\Dance\DubVision - Steal The Moon.mp3
Stereo Love,Edward Maya,Stereo Love,,,E:\Música\Dance\Edward Maya - Stereo Love.mp3
On My Own,Far Out,On My Own,,,E:\Música\Dance\Far Out - On My Own.mp3
From Now On (feat. Charlott Boss),Gabry Ponte,From Now On (feat. Charlott Boss),,Elektro,E:\Música\Dance\Gabry Ponte - From Now On (feat. Charlott Boss).mp3
Thunder,Gabry Ponte,Thunder,,,E:\Música\Dance\Gabry Ponte - Thunder.mp3
End of Time,K-391,End of Time,2020-20-00,Elektro,E:\Música\Dance\K-391 - End of Time.mp3
Kids (feat. MKLA),KSHMR,Kids (feat. MKLA),,,E:\Música\Dance\KSHMR - Kids (feat. MKLA).mp3
One More Round (Free Fire Booyah Day Theme Song),KSHMR,One More Round (Free Fire Booyah Day Theme Song),,,E:\Música\Dance\KSHMR - One More Round (Free Fire Booyah Day Theme Song).mp3
The Truth,Kygo,The Truth,2020-20-00,Dance/Elektro,E:\Música\Dance\Kygo - The Truth.mp3
Champion (Summer 2021 LEC Playoffs Anthem),LUM!X,Champion (Summer 2021 LEC Playoffs Anthem),,,E:\Música\Dance\LUM!X - Champion (Summer 2021 LEC Playoffs Anthem).mp3
Scare Me (feat. Karra),LUM!X,Scare Me (feat. Karra),,,E:\Música\Dance\LUM!X - Scare Me (feat. Karra).mp3
The Passenger (LaLaLa),LUM!X,The Passenger (LaLaLa),,,E:\Música\Dance\LUM!X - The Passenger (LaLaLa).mp3
Wait,Martin Jensen,Wait,,,E:\Música\Dance\Martin Jensen - Wait.mp3.mp3
Out of Time,Midnight Kids,Out of Time,,,E:\Música\Dance\Midnight Kids - Out of Time.mp3
Without Me (feat. Danni Carra),Mitis,Lost,,,E:\Música\Dance\Mitis - Without Me (feat. Danni Carra).mp3
I Don't Know Why,NOTD,I Don't Know Why,,,E:\Música\Dance\NOTD - I Don t Know Why.mp3
Hold On To You,Omnia,Hold On To You,,,E:\Música\Dance\Omnia - Hold On To You.mp3
Come Back Home,Petey Martin,Come Back Home,,,E:\Música\Dance\Petey Martin - Come Back Home.mp3
Timber,Pitbull,Timber,2013,(13)Pop,E:\Música\Dance\Pitbull (feat. Ke$ha) - Timber.mp3
Million Lights,Raaban,Million Lights,,,E:\Música\Dance\Raaban - Million Lights.mp3
All We Are,Richello,All We Are,,,E:\Música\Dance\Richello - All We Are.mp3
In Your Eyes (feat. Alida),Robin Schulz,In Your Eyes (feat. Alida),,,E:\Música\Dance\Robin Schulz - In Your Eyes (feat. Alida).mp3
L.A. (Sistek Remix),Rosie Darling,L.A. (Sistek Remix),,,E:\Música\Dance\Rosie Darling - L.A. (Sistek Remix).mp3
My Feelings,Serhat Durmus,My Feelings,,,E:\Música\Dance\Serhat Durmus - My Feelings.mp3
Pretender,Steve Aoki,Neon Future III,,Pop,E:\Música\Dance\Steve Aoki - Pretender.mp3
RITMO (Bad Boys For Life),The Black Eyed Peas,Bad Boys For Life Soundtrack,2020-20-00,Rap/Hip Hop,E:\Música\Dance\The Black Eyed Peas - RITMO (Bad Boys For Life).mp3
All For You,The Waked,All For You,,,E:\Música\Dance\The Waked - All For You.mp3
Hiding In The Blue,TheFatRat,Hiding In The Blue,,,E:\Música\Dance\TheFatRat - Hiding In The Blue.mp3
Secrets,Tiësto,Secrets (Radio Edit),,Dance,E:\Música\Dance\Tiësto - Secrets.mp3
Livin' The Dream (Original Mix),Tritonal,Painting With Dreams,,,E:\Música\Dance\Tritonal - Livin  The Dream (Original Mix).mp3
Trust,Yonetro,Trust,,,E:\Música\Dance\Trust - Yonetro.mp3
Lost,Lost Sky,Lost,2017,Electro,E:\Música\Dance\TULE - Lost [NCS Release].mp3
Faceless,Unknown Brain,Faceless,,,E:\Música\Dance\Unknown Brain - Faceless.mp3
Back Together (Yetep Remix),William Black,Pages (The Remixes),,,E:\Música\Dance\William Black - Back Together (Yetep Remix).mp3
Butterflies,William Black,Butterflies,2020,(159),E:\Música\Dance\William Black - Butterflies.mp3
Now You're Gone (Video Edit),Basshunter,Now You're Gone - The Album,2008,(3)Dance,E:\Música\De Recuerdo\01 Basshunter - Now You re Gone (Video Edit).mp3
Love Generation,Bob Sinclar,Western Dream,2011,(159)Electro,E:\Música\De Recuerdo\01 Bob Sinclar - Love Generation.mp3
A Sky Full of Stars,Coldplay,A Sky Full Of Stars,2014,(20)Alternative,E:\Música\De Recuerdo\01 Coldplay - A Sky Full of Stars.mp3
Lemon Tree (Album Edit),Fools Garden,Lemon Tree,2013,(13)Pop,E:\Música\De Recuerdo\01 Fools Garden - Lemon Tree (Album Edit).mp3
Another Way (Radio Cut),Gigi D'Agostino,Another Way,2014,(3)Dance,E:\Música\De Recuerdo\01 Gigi D'Agostino - Another Way (Radio Cut).mp3
L'Amour Toujours,Gigi D'Agostino,Top 100 Greatest Dance Hits,2011,Dance,E:\Música\De Recuerdo\01 Gigi D'Agostino - L'Amour Toujours.mp3
Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,,(20)Alternative,E:\Música\De Recuerdo\01 Green Day - Boulevard of Broken Dreams.mp3
Ping Pong Sumer,Mack Jaramillo,Ping Pong Sumer,2019,(159)Electro,E:\Música\De Recuerdo\01 Mack Jaramillo - Ping Pong Sumer.mp3
Fiesta Pagana,Mägo de Oz,Finisterra,2010,(17)Rock,E:\Música\De Recuerdo\01 Mägo de Oz - Fiesta Pagana.mp3
Children (Dream Version) (Remastered),Robert Miles,Dreamland (Remastered),2016,Elektro,E:\Música\De Recuerdo\01 Robert Miles - Children (Dream Version) (Remastered).mp3
Boom  Boom  Boom  Boom!!,Vengaboys,Boom  Boom  Boom  Boom!! (Single),2009,(3)Dance,E:\Música\De Recuerdo\01 Vengaboys - Boom  Boom  Boom  Boom!!.mp3
Ángeles Fuimos,Adrian Barba,Somos uno y lo mismo,2016,(13)Pop,E:\Música\De Recuerdo\02 Adrian Barba - Ángeles Fuimos.mp3
You're Beautiful,James Blunt,Back To Bedlam,2005,(13)Pop,E:\Música\De Recuerdo\02 James Blunt - You're Beautiful.mp3
Human,The Killers,Direct Hits,2013,(20)Alternative,E:\Música\De Recuerdo\08 The Killers - Human.mp3
Brother Louie Mix '98 (Radio Edit),Modern Talking,Back For Good/2nd,1998,Elektro,E:\Música\De Recuerdo\15 Modern Talking - Brother Louie Mix  98 (Radio Edit).mp3
Lost Soul,Deniz Koyu | KO:YU,Lost Soul,2019,Dance,E:\Música\Dia!\01 Deniz Koyu  KOYU   Lost Soul.mp3
Welcome,Fort Minor,Welcome,2015,Vaihtoehtoinen,E:\Música\Dia!\01 Fort Minor   Welcome.mp3
Feel Good (feat. Daya) (Abandoned Remix),Gryffin,Feel Good (feat. Daya) (Abandoned Remix),2017,Dance,E:\Música\Dia!\01 Gryffin   Feel Good (feat Daya) (Abandoned Remix)mp3.mp3
Winnebago,Gryffin,Winnebago,2018,Dance,E:\Música\Dia!\01 Gryffin   Winnebago(1).mp3
Blink 182,Half an Orange,Blink 182,2019,(159)Electro,E:\Música\Dia!\01 Half an Orange   Blink 182.mp3
Pill,Heuse & Zeus X Crona,Pill,2016,Elektro,E:\Música\Dia!\01 Heuse   Zeus X Crona   Pill.mp3
Good Things Fall Apart,Illenium,Good Things Fall Apart,2019,Dance,E:\Música\Dia!\01 Illenium   Good Things Fall Apartmp3.mp3
I'm Yours,JVNA,I'm Yours,2018,(159)Electro,E:\Música\Dia!\01 JVNA   I m Yours(1).mp3
By My Side,Mauvé,By My Side,2019,(159)Electro,E:\Música\Dia!\01 Mauvé   By My Side.mp3
One Life,Mike Perry,One Life,2019,Pop,E:\Música\Dia!\01 Mike Perry   One Lifemp3.mp3
Willow Tree,Rival,Willow Tree,2018,(159)Electro,E:\Música\Dia!\01 Rival   Willow Tree.mp3
No Lie,Sean Paul,No Lie,2016,Reggae,E:\Música\Dia!\01 Sean Paul   No Lie.mp3
Let You Go (Radio Edit),The Chainsmokers,Let You Go (Radio Edit),2015,Dance,E:\Música\Dia!\01 The Chainsmokers   Let You Go (Radio Edit).mp3
Naive,The Kooks,Naïve,2008,Rock,E:\Música\Dia!\01 The Kooks   Naive.mp3
The Calling (feat. Laura Brehm),TheFatRat,The Calling,2016,Elektro,E:\Música\Dia!\01 TheFatRat   The Calling (feat Laura Brehm)mp3.mp3
Beast,Tungevaag & Raaban,Beast,2016,Pop,E:\Música\Dia!\01 Tungevaag   Raaban   Beast.mp3
Take Me Away,Tungevaag & Raaban,Take Me Away,2019,Dance,E:\Música\Dia!\01 Tungevaag  Raaban   Take Me Away.mp3
Far From You,Wildvibes,Far From You,2018,Elektro,E:\Música\Dia!\01 Wildvibes   Far From You.mp3
Lonely,Yoe Mase,Life in Boxes,2017,Alternative,E:\Música\Dia!\02 Yoe Mase   Lonelymp3.mp3
Out of Time (feat. Eric Lumiere) (Sagan Remix),Shane 54,Out of Time (feat. Eric Lumiere),2018,Dance,E:\Música\Dia!\03 Shane 54   Out of Time (feat Eric Lumiere) (Sagan Remix).mp3
You're Gonna Go Far  Kid,The Offspring,Rise And Fall  Rage And Grace,2016,Rock,E:\Música\Dia!\03 The Offspring   You're Gonna Go Far  Kid.mp3
Heroes Tonight,Janji,NCS: The Best of 2015,2015,(159)Electro,E:\Música\Dia!\07 Janji   Heroes Tonight(1).mp3
NUMB,Xxxtentacion,?,2018,Pop,E:\Música\Dia!\07 Xxxtentacion   NUMB.mp3
Where Are Ü Now (with Justin Bieber),Jack Ü,Skrillex and Diplo present Jack Ü,2015,(159)Electro,E:\Música\Dia!\09 Jack Ü   Where Are Ü Now (with Justin Bieber)mp3.mp3
One More Light,Linkin Park,One More Light,2017,Alternative,E:\Música\Dia!\09 Linkin Park   One More Light.mp3
Make It Up As I Go (feat. K.Flay),Mike Shinoda,Post Traumatic (Deluxe Version),2019,Alternative,E:\Música\Dia!\11 Mike Shinoda   Make It Up As I Go (feat KFlay).mp3
Beautiful Creatures,Illenium,Awake,,,E:\Música\Dia!\12 Illenium   Beautiful Creaturesmp3.mp3
Without You (Ryan Exley Remix),Illenium,Ashes (Remixes),2016,Elektro,E:\Música\Dia!\12 Illenium   Without You (Ryan Exley Remix).mp3
Hope,Xxxtentacion,?,2018,(13)Pop,E:\Música\Dia!\16 Xxxtentacion - Hope.mp3
Ocean (Mixed),Alok,Ocean,2018,,E:\Música\Dia!\Alok   Ocean (Mixed).mp3
The Way We Were,Bear Grillz,The Way We Were,2019,,E:\Música\Dia!\Bear Grillz   The Way We Were.mp3
‘뚜두뚜두 (DDU-DU DDU-DU)’,BLACKPINK,SQUARE UP,2018,K-Pop,E:\Música\Dia!\BLACKPINK - DUDUDU.mp3
Eat You Alive,Cadmium,Eat You Alive,2020,,E:\Música\Dia!\Cadmium   Eat You Alive.mp3
Without You,Chris Like,Without You,2021,,E:\Música\Dia!\Chris Like   Without You.mp3
Slow Down,Chris Linton,Slow Down,2020,,E:\Música\Dia!\Chris Linton   Slow Down.mp3
 See The Stars,Daniel Rosty, See The Stars,,,E:\Música\Dia!\Daniel Rosty-See The Stars.mp3
Medicine (Sound Remedy Remix),Daughter,Daughter - Medicine (Sound Remedy Remix),,,E:\Música\Dia!\Daughter   Medicine (Sound Remedy Remix)(MP3_160K)mp3.mp3
Youth (Izzard Remix),Daughter,If you Leave,,,E:\Música\Dia!\Daughter   Youth (Izzard Remix)mp3.mp3
Memories ,Dawns,Memories,,,E:\Música\Dia!\Dawns Memories.mp3
foreign,El yobis yt,Dynoro & Gigi D'Agostino vs Guru Josh - Infinity In My Mind (Djs From Mars Remix),,,E:\Música\Dia!\Dynoro _ Gigi D_Agostino vs Guru Josh - Infinity In My Mind (Djs From Mars Remix)(MP3_160K).mp3.mp3
That's Why I Like You,Eric Chou,When We Were Young,2020,,E:\Música\Dia!\Eric Chou   That s Why I Like Yoump3.mp3
Everything,Lightyear,WhatsApp Audio,,,E:\Música\Dia!\Everything-Lightyear.mp3
Love Ain't Changin,GhostDragon,Stories,2020,,E:\Música\Dia!\GhostDragon   Love Ain t Changinmp3.mp3
All You Need To Know,Gryffin,Gravity,2021,Pop,E:\Música\Dia!\Gryffin   All You Need To Know.mp3
Need Your Love,Gryffin,I Want You Out In The Pouring Rain,2021,,E:\Música\Dia!\Gryffin   Need Your Lovemp3.mp3
What Would It Mean,H4RRIS,What Would It Mean,2021,,E:\Música\Dia!\H4RRIS   What Would It Meanmp3.mp3
Sold Out,Hawk Nelson,Diamonds,2015,,E:\Música\Dia!\Hawk Nelson   Sold Out.mp3
Heavenly Side (NGHTMRE Remix),Illenium,Heavenly Side (NGHTMRE Remix),2021,,E:\Música\Dia!\Illenium   Heavenly Side (NGHTMRE Remix)mp3.mp3
Reverie,Illenium,Ashes,2016,,E:\Música\Dia!\Illenium   Reverie.mp3
Needed You,Illenium,Awake,,,E:\Música\Dia!\Illenium - Needed You (feat. Dia Frampton)(MP3_128K).mp3
Dull Knives,Imagine Dragons,Mercury,,,E:\Música\Dia!\Imagine Dragons - Dull Knives .mp3
4AM,Jubel,Strawtown,2020,,E:\Música\Dia!\Jubel   4AM.mp3
Love To Go,Lost Frequencies,Love To Go,2020-20-00,Dance/Elektro,E:\Música\Dia!\Lost Frequencies   Love To Go.mp3
